Message,Target
Gostaria de saber como acessar a área do aluno,Área do aluno
Esqueci minha senha de acesso,Recuperação de Senha
Adorei o serviço,Feedback
Odiei o serviço,Feedback
Nao sei acessar area do aluno,Área do aluno
nao informaram minha senha nesse serviço porco como faço pra saber,Recuperação de Senha
obrigado,Feedback
Muito bom,Feedback
"não estou conseguindo acessar minha conta, a senha está dando com inválida",Recuperação de Senha
não ajudou,Feedback
preciso de ajuda,Ajuda não especificada
Oi,Saudação
Boa noite estou com um problema,Saudação
Me ajudem,Ajuda não especificada
Estou com problemas,Ajuda não especificada
